vphone_ad,year,unit_code,street_ad,scity_ad,state_ad,szip_ad,type_cd,closed_ind,new_ind,super_nm,category_cd,url_ad,grade_range_cd,calendar_type_txt,sna_pgm_type_cd,cover_letter_ad,school_type_txt,calendar_only_txt,title1_type_cd,clp_ind,focus_clp_ind,summer_program_ind,asm_no_spg_ind,no_data_spg_ind,Lea_Name,School_Name,State_Name,esea_status,student_num,lea_avg_student_num,st_avg_student_num,Grad_project_status,stem,url,Latitude,Longitude,D_D_E_F_G,Street number,Street,City,State,Country,Zip,Address components
(704)476-8330,2017,230350,500 Phifer Road,Kings Mountain,NC,28086,P,0,0,,H,http://www.clevelandcountyschools.org,12-Sep,Regular School, Traditional Calendar,R,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information,Regular School,Traditional Calendar,,,,,,,Cleveland County Schools,Kings Mountain High,State Of North Carolina,,1229,891,853,Y,,35.2331401,-81.3719418,500 Phifer Road Kings Mountain NC 28086,500,Phifer Road,Kings Mountain,North Carolina,United States,28086,"500, Phifer Road, Kings Mountain, 4, Kings Mountain, Cleveland County, North Carolina, United States, 28086, 3723"
(704)476-8325,2017,230361,230 E Dixon Boulevard,Shelby,NC,28152,P,0,0,,H,http://www.clevelandcountyschools.org,12-Sep,Regular School, Traditional Calendar,R,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information,Regular School,Traditional Calendar,,,,,,,Cleveland County Schools,Shelby High,State Of North Carolina,,831,891,853,N,,35.274073,-81.536911,230 E Dixon Boulevard Shelby NC 28152,230,East Dixon Boulevard,Shelby,North Carolina,United States,28152,"230, East Dixon Boulevard, Shelby, 6, Shelby, Cleveland County, North Carolina, United States, 28152, 6766"
(910)646-4094,2017,240334,32 Gator Lane,Lake Waccamaw,NC,28450,P,0,0,,H,http://www.columbus.k12.nc.us,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Columbus County Schools,East Columbus High,State Of North Carolina,,425,484,853,N,,34.3359734,-78.5018429,32 Gator Lane Lake Waccamaw NC 28450,32,Gator Lane,Lake Waccamaw,North Carolina,United States,28450,"32, Gator Lane, Lake Waccamaw, Waccamaw, Columbus County, North Carolina, United States, 28450, 2257"
(910)653-4073,2017,240371,40 Stallion Drive,Tabor City,NC,28463,P,0,0,,H,http://www.columbus.k12.nc.us,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Columbus County Schools,South Columbus High,State Of North Carolina,,747,484,853,N,,34.1730981,-78.8150803,40 Stallion Drive Tabor City NC 28463,40,Stallion Drive,Tabor City,North Carolina,United States,28463,"40, Stallion Drive, Tabor City, Williams, Columbus County, North Carolina, United States, 28463, 9626"
(910)642-7141,2017,240373,4564 Chadbourn Hwy,Whiteville,NC,28472,P,0,0,,H,http://www.columbus.k12.nc.us,13-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Columbus County Schools,CCCA - Fair Bluff /Southeastern Campuses,State Of North Carolina,,312,484,853,N,,34.333368,-78.785091,4564 Chadbourn Hwy Whiteville NC 28472,4564,Chadbourn Highway,Whiteville,North Carolina,United States,28472,"4564, Chadbourn Highway, Whiteville, Chadbourn, Columbus County, North Carolina, United States, 28472, 5423"
(910)654-6111,2017,240380,7294 Andrew Jackson Hwy,Cerro Gordo,NC,28430,P,0,0,,H,http://www.columbus.k12.nc.us,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Columbus County Schools,West Columbus High,State Of North Carolina,,453,484,853,N,,34.328921,-78.922999,7294 Andrew Jackson Hwy Cerro Gordo NC 28430,7294,Andrew Jackson Highway Southwest,Cerro Gordo,North Carolina,United States,28430,"7294, Andrew Jackson Highway Southwest, Cerro Gordo, Cerro Gordo, Columbus County, North Carolina, United States, 28430"
(910)914-4189,2017,241316,413 N Lee Street,Whiteville,NC,28472,P,0,0,,H,http://whs.whiteville.k12.nc.us/,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,Y,,,,,,Whiteville City Schools,Whiteville High,State Of North Carolina,,705,705,853,N,,34.3349808,-78.7065871,413 N Lee Street Whiteville NC 28472,413,North Lee Street,Whiteville,North Carolina,United States,28472,"413, North Lee Street, Whiteville, Whiteville, Columbus County, North Carolina, United States, 28472, 3229"
(252)637-5706,2017,250314,800 College Court,New Bern,NC,28562,P,0,0,,H,http://www.cravenearlycollege.net/,13-Sep,Regular School, Traditional Calendar,R,https://www.cravenk12.org/Page/1458,Regular School,Traditional Calendar,,,,Y,,,Craven County Schools,Craven Early College High,State Of North Carolina,,207,808,853,N,,35.1103856,-77.1022053,800 College Court New Bern NC 28562,800,College Court,New Bern,North Carolina,United States,28562,"800, College Court, New Bern, 8, Craven County, North Carolina, United States, 28562"
(252)444-5194,2017,250321,104 Middle School Lane,Havelock,NC,28532,P,0,0,,H,http://www.craven.k12.nc.us/ECE/,13-Sep,Regular School, Traditional Calendar,R,https://www.cravenk12.org/Page/1458,Regular School,Traditional Calendar,,,,Y,,,Craven County Schools,Early College EAST High,State Of North Carolina,,198,808,853,N,,34.8775731,-76.8971976,104 Middle School Lane Havelock NC 28532,104,Middle School Lane,Havelock,North Carolina,United States,28532,"104, Middle School Lane, Havelock, 6, Craven County, North Carolina, United States, 28532"
(252)444-5112,2017,250340,101 Webb Boulevard,Havelock,NC,28532,P,0,0,,H,http://havelockhigh.weebly.com/,12-Sep,Regular School, Traditional Calendar,R,https://www.cravenk12.org/Page/1458,Regular School,Traditional Calendar,,,,Y,,,Craven County Schools,Havelock High,State Of North Carolina,,1062,808,853,N,,34.879907,-76.892972,101 Webb Boulevard Havelock NC 28532,101,Webb Boulevard,Havelock,North Carolina,United States,28532,"101, Webb Boulevard, Havelock, 6, Craven County, North Carolina, United States, 28532, 1952"
(252)514-6400,2017,250356,4200 Academic Drive,New Bern,NC,28562,P,0,0,,H,http://www.craven.k12.nc.us/NBH/,12-Sep,Regular School, Traditional Calendar,R,https://www.cravenk12.org/Page/1458,Regular School,Traditional Calendar,,,,Y,,,Craven County Schools,New Bern High,State Of North Carolina,,1656,808,853,N,,35.0995881,-77.1160299,4200 Academic Drive New Bern NC 28562,4200,Academic Drive,New Bern,North Carolina,United States,28562,"4200, Academic Drive, New Bern, 8, Craven County, North Carolina, United States, 28562, 9692"
(252)244-3200,2017,250372,2600 Streets Ferry Road,Vanceboro,NC,28586,P,0,0,,H,http://teacherweb.craven.k12.nc.us/WCH/,12-Sep,Regular School, Traditional Calendar,R,https://www.cravenk12.org/Page/1458,Regular School,Traditional Calendar,,,,Y,,,Craven County Schools,West Craven High,State Of North Carolina,,918,808,853,N,,35.2376529,-77.1383846,2600 Streets Ferry Road Vanceboro NC 28586,2600,Streets Ferry Road,Vanceboro,North Carolina,United States,28586,"2600, Streets Ferry Road, Vanceboro, 1, Craven County, North Carolina, United States, 28586, 8353"
(910)429-2800,2017,260318,7403 Rockfish Road,Fayetteville,NC,28306,P,0,0,,H,http://www.jbhs.ccs.k12.nc.us/,12-Sep,Regular School, Traditional Calendar,R,http://ccs.k12.nc.us/16-17-report-card-message-from-the-interim-superintendent/,Regular School,Traditional Calendar,,,,Y,,,Cumberland County Schools,Jack Britt High,State Of North Carolina,,1882,901,853,N,,34.977416,-79.0113511,7403 Rockfish Road Fayetteville NC 28306,7403,Rockfish Road,Fayetteville,North Carolina,United States,28306,"7403, Rockfish Road, Jack Britt, Fayetteville, Rockfish, Cumberland County, North Carolina, United States, 28306, 7296"
(910)484-8121,2017,260322,1624 Ireland Drive,Fayetteville,NC,28304,P,0,0,,H,http://www.dbhs.ccs.k12.nc.us/,12-Sep,Regular School, Traditional Calendar,R,http://ccs.k12.nc.us/16-17-report-card-message-from-the-interim-superintendent/,Regular School,Traditional Calendar,Y,,,Y,,,Cumberland County Schools,Douglas Byrd High,State Of North Carolina,,1062,901,853,N,,35.032099,-78.950225,1624 Ireland Drive Fayetteville NC 28304,1624,Ireland Drive,Fayetteville,North Carolina,United States,28304,"1624, Ireland Drive, Douglas Byrd, Fayetteville, Pearces Mill, Cumberland County, North Carolina, United States, 28304, 4363"
(910)483-0191,2017,260325,4762 Clinton Road,Fayetteville,NC,28301,P,0,0,,H,http://www.cfhs.ccs.k12.nc.us/,12-Sep,Regular School, Traditional Calendar,R,http://ccs.k12.nc.us/16-17-report-card-message-from-the-interim-superintendent/,Regular School,Traditional Calendar,,,,Y,,,Cumberland County Schools,Cape Fear High,State Of North Carolina,,1458,901,853,N,,35.0343853,-78.7637348,4762 Clinton Road Fayetteville NC 28301,4762,Clinton Road,Fayetteville,North Carolina,United States,28312,"4762, Clinton Road, Cape Fear, Fayetteville, Cedar Creek, Cumberland County, North Carolina, United States, 28312, 8523"
(910)672-2830,2017,260347,1200 Murchison Rd, J Knuckles Science Annex,Fayetteville,NC,28303,P,0,0,,H,http://www.ciechs.ccs.k12.nc.us/,12-Sep,Regular School, Traditional Calendar,R,http://ccs.k12.nc.us/16-17-report-card-message-from-the-interim-superintendent/,Regular School,Traditional Calendar,,,,Y,,Cumberland County Schools,Cumberland International Early CollegeHS,State Of North Carolina,,252,901,853,N,,35.0733686,-78.8952089,1200 Murchison Rd  J Knuckles Science Annex Fayetteville NC,1298,Murchison Road,Fayetteville,North Carolina,United States,28301,"1298, Murchison Road, Fayetteville, North Carolina, United States, 28301"
(910)672-1499,2017,260354,1200 Murchison Road,Fayetteville,NC,28301,P,0,0,,H,http://www.ccechs.ccs.k12.nc.us/,12-Sep,Regular School, Traditional Calendar,R,http://ccs.k12.nc.us/16-17-report-card-message-from-the-interim-superintendent/,Regular School,Traditional Calendar,,,,Y,,,Cumberland County Schools,Cross Creek Early College,State Of North Carolina,,259,901,853,N,,35.0756898,-78.8925902,1200 Murchison Road Fayetteville NC 28301,1200,Murchison Road,Fayetteville,North Carolina,United States,28301,"1200, Murchison Road, Fayetteville, Cross Creek, Cumberland County, North Carolina, United States, 28301, 4252"
(910)424-8589,2017,260357,5301 Celebration Drive,Hope Mills,NC,28348,P,0,0,,H,http://www.gchs.ccs.k12.nc.us,12-Sep,Regular School, Traditional Calendar,R,http://ccs.k12.nc.us/16-17-report-card-message-from-the-interim-superintendent/,Regular School,Traditional Calendar,,,,Y,,,Cumberland County Schools,Grays Creek High,State Of North Carolina,,1395,901,853,N,,34.9215266,-78.9046424,5301 Celebration Drive Hope Mills NC 28348,5301,Celebration Drive,Hope Mills,North Carolina,United States,28348,"5301, Celebration Drive, Gray's Creek, Hope Mills, Rockfish, Cumberland County, North Carolina, United States, 28348, 8375"
(910)483-0153,2017,260359,1800 Seabrook Road,Fayetteville,NC,28301,P,0,0,,H,http://www.eeshs.ccs.k12.nc.us/,12-Sep,Regular School, Traditional Calendar,R,http://ccs.k12.nc.us/16-17-report-card-message-from-the-interim-superintendent/,Regular School,Traditional Calendar,,,Y,Y,,,Cumberland County Schools,E E Smith High,State Of North Carolina,,926,901,853,N,,35.0847821,-78.8957584,1800 Seabrook Road Fayetteville NC 28301,1800,Seabrook Road,Fayetteville,North Carolina,United States,28301,"1800, Seabrook Road, Fayetteville, Cross Creek, Cumberland County, North Carolina, United States, 28301, 0530"
(910)485-8761,2017,260388,1062 Southern Avenue,Fayetteville,NC,28306,P,0,0,,H,http://www.mhchs.ccs.k12.nc.us,12-Sep,Regular School, Traditional Calendar,R,http://ccs.k12.nc.us/16-17-report-card-message-from-the-interim-superintendent/,Regular School,Traditional Calendar,,,,Y,,,Cumberland County Schools,Massey Hill Classical High,State Of North Carolina,,310,901,853,Y,,35.0311393,-78.8949183,1062 Southern Avenue Fayetteville NC 28306,1062,Southern Avenue,Fayetteville,North Carolina,United States,28306,"1062, Southern Avenue, Douglas Byrd, Fayetteville, Cross Creek, Cumberland County, North Carolina, United States, 28306, 1766"
(910)488-2384,2017,260408,525 Andrews Road,Fayetteville,NC,28311,P,0,0,,H,http://www.pfhs.ccs.k12.nc.us/,12-Sep,Regular School, Traditional Calendar,R,http://ccs.k12.nc.us/16-17-report-card-message-from-the-interim-superintendent/,Regular School,Traditional Calendar,,,,Y,,,Cumberland County Schools,Pine Forest High,State Of North Carolina,,1528,901,853,N,,35.1560826,-78.8869909,525 Andrews Road Fayetteville NC 28311,525,Andrews Road,Fayetteville,North Carolina,United States,28311,"525, Andrews Road, Pine Forest, Fayetteville, Carvers Creek, Cumberland County, North Carolina, United States, 28311"
(910)488-8415,2017,260411,3200 Ramsey Street,Fayetteville,NC,28301,P,0,0,,H,http://www.rrcs.ccs.k12.nc.us/,12-Sep,Regular School, Year-Round Calendar,Y,http://ccs.k12.nc.us/16-17-report-card-message-from-the-interim-superintendent/,Regular School,Year-Round Calendar,,,,Y,,,Cumberland County Schools,Reid Ross Classical High,State Of North Carolina,,303,901,853,Y,,35.1016501,-78.8759571,3200 Ramsey Street Fayetteville NC 28301,3200,Ramsey Street,Fayetteville,North Carolina,United States,28301,"3200, Ramsey Street, Fayetteville, Cross Creek, Cumberland County, North Carolina, United States, 28301, 3118"
(910)867-3116,2017,260424,6764 Raeford Road,Fayetteville,NC,28304,P,0,0,,H,http://www.sfhs.ccs.k12.nc.us/index.htm,12-Sep,Regular School, Traditional Calendar,R,http://ccs.k12.nc.us/16-17-report-card-message-from-the-interim-superintendent/,Regular School,Traditional Calendar,,,,Y,,,Cumberland County Schools,Seventy-First High,State Of North Carolina,,1451,901,853,N,,35.039371,-79.0054624,6764 Raeford Road Fayetteville NC 28304,6764,Raeford Road,Fayetteville,North Carolina,United States,28304,"6764, Raeford Road, Seventy-First, Fayetteville, Seventy-First, Cumberland County, North Carolina, United States, 28304, 2771"
(910)425-8181,2017,260427,4184 Elk Road,Hope Mills,NC,28348,P,0,0,,H,http://www.svhs.ccs.k12.nc.us/index.htm,12-Sep,Regular School, Traditional Calendar,R,http://ccs.k12.nc.us/16-17-report-card-message-from-the-interim-superintendent/,Regular School,Traditional Calendar,,,,Y,,,Cumberland County Schools,South View High,State Of North Carolina,,1725,901,853,N,,34.9787173,-78.9280286,4184 Elk Road Hope Mills NC 28348,4184,Elk Road,Hope Mills,North Carolina,United States,28348,"4184, Elk Road, South View, Hope Mills, Rockfish, Cumberland County, North Carolina, United States, 28348"
(910)484-1151,2017,260446,2301 Fort Bragg Road,Fayetteville,NC,28303,P,0,0,,H,http://www.tshs.ccs.k12.nc.us/,12-Sep,Regular School, Traditional Calendar,R,http://ccs.k12.nc.us/16-17-report-card-message-from-the-interim-superintendent/,Regular School,Traditional Calendar,,,,Y,,,Cumberland County Schools,Terry Sanford High,State Of North Carolina,,1253,901,853,N,,35.0649076,-78.9151218,2301 Fort Bragg Road Fayetteville NC 28303,2301,Fort Bragg Road,Fayetteville,North Carolina,United States,28303,"2301, Fort Bragg Road, Terry Sanford, Fayetteville, Cross Creek, Cumberland County, North Carolina, United States, 28303"
(910)864-0190,2017,260455,277 Bonanza Drive,Fayetteville,NC,28303,P,0,0,,H,http://www.wohs.ccs.k12.nc.us/default.htm,12-Sep,Regular School, Traditional Calendar,R,http://ccs.k12.nc.us/16-17-report-card-message-from-the-interim-superintendent/,Regular School,Traditional Calendar,,,,Y,,,Cumberland County Schools,Westover High,State Of North Carolina,P,1140,901,853,N,,35.0832861,-78.9908479,277 Bonanza Drive Fayetteville NC 28303,277,Bonanza Drive,Fayetteville,North Carolina,United States,28303,"277, Bonanza Drive, Westover, Fayetteville, Seventy-First, Cumberland County, North Carolina, United States, 28303"
(910)486-7300,2017,260700,2201 Hull Rd,Fayetteville,NC,28303,P,0,0,,H,http://cphs.ccs.k12.nc.us/,12-Sep,Regular School, Traditional Calendar,R,http://ccs.k12.nc.us/16-17-report-card-message-from-the-interim-superintendent/,Regular School,Traditional Calendar,,,,Y,,,Cumberland County Schools,Cumberland Polytechnic,State Of North Carolina,,165,901,853,Y,,35.0666422,-78.9258784,2201 Hull Rd Fayetteville NC 28303,2201,Hull Road,Fayetteville,North Carolina,United States,28303,"2201, Hull Road, Terry Sanford, Fayetteville, Cross Creek, Cumberland County, North Carolina, United States, 28303"
(252)453-0014,2017,270306,4203 Caratoke Hwy,Barco,NC,27917,P,0,0,,H,http://www.currituck.k12.nc.us,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Currituck County Schools,Currituck County High,State Of North Carolina,,990,640,853,N,,36.372479,-75.9679957,4203 Caratoke Hwy Barco NC 27917,4203,Caratoke Highway,Barco,North Carolina,United States,27917,"4203, Caratoke Highway, Barco, Crawford, Currituck County, North Carolina, United States, 27917, 9515"
(252)232-3107,2017,270311,2966 Caratoke Hwy,Currituck,NC,27929,P,0,0,,H,http://www.currituck.k12.nc.us,13-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Currituck County Schools,The JP Knapp ECH (i)School,State Of North Carolina,,290,640,853,N,,36.4448126,-76.0152197,2966 Caratoke Hwy Currituck NC 27929,2966,Caratoke Highway,Currituck,North Carolina,United States,27929,"2966, Caratoke Highway, Currituck, Crawford, Currituck County, North Carolina, United States, 27929"
(252)473-5841,2017,280316,829 Wingina Avenue,Manteo,NC,27954,P,0,0,,H,http://mhs.daretolearn.org,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Dare County Schools,Manteo High School,State Of North Carolina,,488,423,853,Y,,35.9142876,-75.6749332,829 Wingina Avenue Manteo NC 27954,829,Wingina Avenue,Manteo,North Carolina,United States,27954,"829, Wingina Avenue, Manteo, Nags Head, Dare County, North Carolina, United States, 27954, 9103"
(252)449-7000,2017,280330,100 Veterans Drive,Kill Devil Hills,NC,27948,P,0,0,,H,http://ffh.daretolearn.org,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Dare County Schools,First Flight High School,State Of North Carolina,,754,423,853,Y,,36.0092209,-75.666368,100 Veterans Drive Kill Devil Hills NC 27948,100,Veterans Drive,Kill Devil Hills,North Carolina,United States,27948,"100, Veterans Drive, Kill Devil Hills, Atlantic, Dare County, North Carolina, United States, 27948, 6965"
(336)357-2920,2017,290308,2747 NC Hwy 47,Lexington,NC,27292,P,0,0,,H,http://www.davidson.k12.nc.us/central/cdsh1.htm,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Davidson County Schools,Central Davidson High,State Of North Carolina,,923,749,853,N,,35.7397635,-80.2218055,2747 NC Hwy 47 Lexington NC 27292,2747,North Carolina 47,Lexington,North Carolina,United States,27292,"2747, North Carolina 47, Lexington, Silver Hill, Davidson County, North Carolina, United States, 27292, 8626"
(336)242-5686,2017,290315,297 DCCC Road,Lexington,NC,27295,P,0,0,,H,http://www.davidson.k12.nc.us/education/school/school.php?sectionid=12,13-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Davidson County Schools,Davidson Early College,State Of North Carolina,,105,749,853,N,,35.8674527,-80.1805318,297 DCCC Road Lexington NC 27295,,,Thomasville,North Carolina,United States,27360,"Thomasville, North Carolina, United States, 27360"
(336)476-4814,2017,290324,1408 Lake Road,Thomasville,NC,27360,P,0,0,,H,http://www.davidson.k12.nc.us/east/index.htm,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Davidson County Schools,East Davidson High,State Of North Carolina,,867,749,853,N,,35.850511,-80.102208,1408 Lake Road Thomasville NC 27360,1408,Lake Road,Thomasville,North Carolina,United States,27360,"1408, Lake Road, Thomasville, Thomasville, Davidson County, North Carolina, United States, 27360, 6041"
(336)769-9671,2017,290336,140 Jesse Green Road,Thomasville,NC,27360,P,0,0,,H,http://www.davidson.k12.nc.us/ledford/ledford.htm,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Davidson County Schools,Ledford Senior High,State Of North Carolina,,1250,749,853,N,,35.9640132,-80.134568,140 Jesse Green Road Thomasville NC 27360,140,Jesse Green Rd,Thomasville,NC,United States,27360,"140, Jesse Green Rd, Thomasville, Abbotts Creek, Davidson County, NC, United States, 27360"
(336)731-8431,2017,290348,7227 Old US Hwy 52,Lexington,NC,27295,P,0,0,,H,http://www.davidson.k12.nc.us/ndhs/index.htm,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Davidson County Schools,North Davidson High,State Of North Carolina,,1542,749,853,N,,35.8557942,-80.3730323,7227 Old US Hwy 52 Lexington NC 27295,7227,West Old US Highway 64,Lexington,North Carolina,United States,27295,"7227, West Old US Highway 64, Lexington, Tyro, Davidson County, North Carolina, United States, 27295"
(336)242-5700,2017,290365,14956 South NC Hwy 109,Denton,NC,27239,P,0,0,,H,http://www.davidson.k12.nc.us/south/south2.htm,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Davidson County Schools,South Davidson High,State Of North Carolina,,396,749,853,N,,35.672924,-80.104271,14956 South NC Hwy 109 Denton NC 27239,14956,North Carolina 109,Denton,North Carolina,United States,27239,"14956, North Carolina 109, Denton, Emmons, Davidson County, North Carolina, United States, 27239, 8581"
(336)853-8082,2017,290388,200 Dragon Drive,Lexington,NC,27295,P,0,0,,H,http://www.davidson.k12.nc.us/west/Home.htm,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Davidson County Schools,West Davidson High,State Of North Carolina,,737,749,853,N,,35.8045448,-80.3658593,200 Dragon Drive Lexington NC 27295,200,Dragon Drive,Lexington,North Carolina,United States,27295,"200, Dragon Drive, Lexington, Tyro, Davidson County, North Carolina, United States, 27295"
(336)242-5820,2017,290389,2065 E. Holly Grove Road,Lexington,NC,27292,P,0,0,,H,http://www.valleycareeracademy.com,13-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Davidson County Schools,Yadkin Valley Regional Career Academy,State Of North Carolina,,172,749,853,N,,35.8169974,-80.18886,2065 E. Holly Grove Road Lexington NC 27292,2065,East Holly Grove Road,Lexington,North Carolina,United States,27292,"2065, East Holly Grove Road, Lexington, Conrad Hill, Davidson County, North Carolina, United States, 27292, 9795"
(336)242-1574,2017,291336,26 Penry Street,Lexington,NC,27292,P,0,0,,H,http://www.lexcs.org/,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Lexington City Schools,Lexington Senior High,State Of North Carolina,,753,753,853,N,,35.8327345,-80.2499278,26 Penry Street Lexington NC 27292,26,Penry Street,Lexington,North Carolina,United States,27292,"26, Penry Street, Lexington, Lexington, Davidson County, North Carolina, United States, 27292"
(336)474-4250,2017,292324,410 Unity Street,Thomasville,NC,27360,P,0,0,,H,http://ths.tcs.k12.nc.us/,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,Y,,Y,,,Thomasville City Schools,Thomasville High,State Of North Carolina,,649,649,853,Y,,35.900811,-80.0753832,410 Unity Street Thomasville NC 27360,410,Unity Street,Thomasville,North Carolina,United States,27360,"410, Unity Street, Thomasville, Thomasville, Davidson County, North Carolina, United States, 27360, 2532"
(336)751-5905,2017,300312,180 War Eagle Drive,Mocksville,NC,27028,P,0,0,,H,http://www.davie.k12.nc.us/schools/davie-high/,12-Sep,Regular School, Traditional Calendar,R,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/,Regular School,Traditional Calendar,,,,,,,Davie County Schools,Davie County High,State Of North Carolina,,1709,937,853,N,,35.9712509,-80.5354707,180 War Eagle Drive Mocksville NC 27028,180,War Eagle Drive,Mocksville,North Carolina,United States,27028,"180, War Eagle Drive, Mocksville, Farmington, Davie County, North Carolina, United States, 27028"
(336)753-0888,2017,300314,1211 Salisbury Road,Mocksville,NC,27028,P,0,0,,H,http://www.davie.k12.nc.us/schools/early-college/,13-Sep,Regular School, Traditional Calendar,R,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/,Regular School,Traditional Calendar,,,,,,,Davie County Schools,Davie County Early College High,State Of North Carolina,,164,937,853,N,,35.8709119,-80.5536407,1211 Salisbury Road Mocksville NC 27028,1211,Salisbury Road,Mocksville,North Carolina,United States,27028,"1211, Salisbury Road, Mocksville, Mocksville, Davie County, North Carolina, United States, 27028, 9302"
(910)296-1136,2017,310338,212 James Sprunt Dr,Kenansville,NC,28349,P,0,0,,H,http://www.duplinschools.net/dechs/,13-Sep,Regular School, Traditional Calendar,R,https://www.duplinschools.net/Page/19,Regular School,Traditional Calendar,,,,,,,Duplin County Schools,Duplin Early College High,State Of North Carolina,,182,617,853,Y,,34.9467096,-77.9788071,212 James Sprunt Dr Kenansville NC 28349,212,James Sprunt Drive,Kenansville,North Carolina,United States,28349,"212, James Sprunt Drive, Kenansville, Kenansville, Duplin County, North Carolina, United States, 28349"
(910)298-4535,2017,310344,394 North NC Highway 111,Beulaville,NC,28518,P,0,0,,H,http://www.duplinschools.net/schools/edh,12-Sep,Regular School, Traditional Calendar,R,https://www.duplinschools.net/Page/19,Regular School,Traditional Calendar,,,,,,,Duplin County Schools,East Duplin High,State Of North Carolina,,942,617,853,Y,,34.9408843,-77.7831902,394 North NC Highway 111 Beulaville NC 28518,394,North Carolina 111,Beulaville,North Carolina,United States,28518,"394, North Carolina 111, Beulaville, Limestone, Duplin County, North Carolina, United States, 28518, 8532"
(910)293-4218,2017,310352,1241 NC 24 & 50,Warsaw,NC,28398,P,0,0,,H,http://www.duplinschools.net/schools/jkh,12-Sep,Regular School, Traditional Calendar,R,https://www.duplinschools.net/Page/19,Regular School,Traditional Calendar,,,,,,,Duplin County Schools,James Kenan High,State Of North Carolina,,685,617,853,Y,,34.9852289,-78.042401,1241 NC 24 & 50 Warsaw NC 28398,1241,Nc 24 And 50 Highway,Warsaw,North Carolina,United States,28398,"1241, Nc 24 And 50 Highway, Warsaw, Warsaw, Duplin County, North Carolina, United States, 28398"
(910)285-7501,2017,310392,602 High School Road,Teachey,NC,28464,P,0,0,,H,http://www.duplinschools.net/schools/wrh,12-Sep,Regular School, Traditional Calendar,R,https://www.duplinschools.net/Page/19,Regular School,Traditional Calendar,,,,,,,Duplin County Schools,Wallace-Rose Hill High,State Of North Carolina,,657,617,853,Y,,34.7719939,-77.9990153,602 High School Road Teachey NC 28464,602,High School Road,Teachey,North Carolina,United States,28464,"602, High School Road, Teachey, Island Creek, Duplin County, North Carolina, United States, 28464"
(919)560-2696,2017,320309,1801 Fayetteville Street, NCCU-Robinson Science Building,Durham,NC,27707,P,0,0,,H,http://echs.dpsnc.net/,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,Durham Public Schools,J D Clement Early College HS,State Of North Carolina,,349,903,853,N,,35.974737,-78.8981013,1801 Fayetteville Street  NCCU-Robinson Science Building Durham NC,1801,Fayetteville Street,Durham,North Carolina,United States,27707,"1801, Fayetteville Street, North Carolina Central University, Durham, Durham, Durham County, North Carolina, United States, 27707"
(919)560-3912,2017,320312,6806 Garrett Road,Durham,NC,27707,P,0,0,,H,http://www.jordan.dpsnc.net/,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,Y,Y,Y,,,Durham Public Schools,C E Jordan High,State Of North Carolina,,1946,903,853,N,,35.9232466,-78.9620817,6806 Garrett Road Durham NC 27707,6806,Garrett Road,Durham,North Carolina,United States,27707,"6806, Garrett Road, Durham, Triangle, Durham County, North Carolina, United States, 27707, 5634"
